indice_tiempo,ventas_precios_corrientes,ventas_precios_constantes,ventas_totales_canal_venta,salon_de_ventas,canales_on_line,ventas_totales_medio_pago,efectivo,tarjetas_debito,tarjetas_credito,otros_medios,ventas_totales_grupos_articulos,subtotal_alimentos_bebidas,bebidas,almacen,panaderia,lacteos,carnes,verduleria_fruteria,articulos_limpieza_perfumeria,indumentaria_calzado_textiles_hogar,electronicos_articulos_hogar,otros
2020-10-01,15003.383348828134,4144.495933978299,15003383.34883,14987937.50991,15445.83892,15003383.34883,6573116.746610001,3012731.6562600005,2978506.8510499997,2439028.09491,15003383.348828135,9220520.3431111,1585704.5481333,6511664.977314,28612.370199999998,845650.5535238001,222295.53787999996,26592.356060000002,4396591.138635,5477.907452265001,553924.19705477,826869.7625750001
2020-11-01,15162.363999987007,4116.372965791806,15162363.999989998,15088499.144989997,73864.855,15162363.999989998,6962296.724340001,2905773.68742,2819007.4011999997,2475286.18703,15162363.999987006,9559421.0259614,1974435.6345016998,6511628.5905329995,31169.362789999996,799559.4247066999,215789.09025,26838.923179999998,4387501.445615999,6634.772423807999,315823.3811488,892983.3748370002
2020-12-01,19800.60786132991,5285.292779517999,19800607.86133,19691358.93458,109248.92675,19800607.86133,9132837.187119998,4094876.5485899993,3533274.4697100003,3039619.65591,19800607.86132991,13058147.309077298,3575194.6719105,8103762.522414999,46292.75972,862751.7873018,435017.30555000005,35128.262180000005,4840469.467713,8755.817057110999,594180.9435215001,1299054.323961
2021-01-01,15624.993064786762,4036.3381242416244,15624993.064790001,15569175.701690001,55817.3631,15624993.064790001,7246266.45217,3094962.73359,2759663.35899,2524100.5200400003,15624993.064786762,9393629.1343604,1958532.3085765997,6350004.45005,27824.64978,765354.6386638,261437.71401999998,30475.37327,4684442.303654,6759.316468762001,559602.4115416,980559.8987619999
2021-02-01,15932.72031291475,3955.2889878643314,15932720.312910002,15841514.667910002,91205.645,15932720.312910002,7265699.599279998,3118838.0445999997,2887648.8459,2660533.82313,15932720.312914748,9859623.6079808,1878341.5741440002,6865155.967856,29207.23196,786135.5254007999,269687.88249999995,31095.426119999996,4625443.704054999,6409.837301907,459505.31009004,981737.8534870001
2021-03-01,18311.452748917567,4379.929969062699,18311452.748919997,18245778.31584,65674.43308,18311452.748919997,8473411.337639999,3443127.76695,3367505.5607800004,3027408.08355,18311452.74891757,11406438.03072596,2087899.95123856,8000745.350083,36409.23505,948124.0663443998,296836.90953,36422.51848,5204528.896656001,8919.97341441,562509.2676961999,1129056.580425
2021-04-01,18781.5216627172,4283.382890087025,18781521.662720002,18628191.410720002,153330.252,18781521.662720002,8169334.65096,3737407.4001399996,3648826.06354,3225953.54808,18781521.6627172,11706887.048301797,1969937.3552135997,8339246.9289379995,35450.06779,1018045.5530802002,308591.65495,35615.48833,5391478.913652,13033.59463761,562397.15228979,1107724.953836
2021-05-01,19248.552841604047,4244.976899581062,19248552.841599997,19112114.983599998,136437.858,19248552.841599997,8563167.463639999,3660557.9470900004,3613212.37588,3411615.05499,19248552.841604047,12105596.044864802,1962403.1547491,8683325.824498,32966.806769999996,1079009.4975977,313445.60050000006,34445.160749999995,5260578.111818999,22337.577004959996,727499.79738129,1132541.3105340002
2021-06-01,20589.394704952883,4375.513125030029,20589394.704950005,20421919.161890004,167475.54306,20589394.704950005,8926217.86374,4212929.5382900005,3777066.94579,3673180.357129999,20589394.70495289,13102583.020908501,2114078.6100248,9394533.446601002,35446.024919999996,1197387.6901226998,327965.41748000006,33171.83176,5509251.316281,17862.55136055,725684.29114384,1234013.525259
2021-07-01,21314.63234493192,4366.950320200034,21314632.34493,21197813.28463,116819.0603,21314632.34493,8963198.97357,4722713.3788,3874492.48596,3754227.5066,21314632.34493192,13424866.062157799,2363264.7869973998,9336656.544863999,40869.684290000005,1232377.0134164,413441.44846,38256.58413,5747206.735355,25644.96844622,673220.1471738999,1443694.431799
2021-08-01,20747.63301553376,4126.838154506672,20747633.01553,20606993.65907,140639.35645999998,20747633.01553,8641043.482779998,4209743.757560001,4116215.8149099997,3780629.9602799998,20747633.01553376,13169151.603624122,2378793.6857009195,9162834.248704001,39057.040519999995,1171787.5070692,380344.70363999996,36334.41799,5532756.573129,19211.029905940002,652208.3602606999,1374305.4486139999
2021-09-01,21200.653192299123,4092.462194102046,21200653.192300003,21046674.734810002,153978.45749,21200653.192300003,8607927.75909,4406590.04251,4328303.5265,3857831.8641999997,21200653.192299124,13303865.312612701,2732628.8136374,8913019.97419,41868.994269999996,1177134.4475053,402796.74740999995,36416.335600000006,5817881.507394001,17317.444496120002,732228.5015662999,1329360.42623
2021-10-01,23091.437704230473,4310.671593937131,23091437.70423,22957991.79065,133445.91358,23091437.70423,9162862.9143,4577180.33296,5261587.67621,4089806.7807600005,23091437.704230472,14263300.003829401,2878436.0185813,9619825.351181999,51217.45654,1230453.1041361,442256.12773,41111.94566,6431529.994877,20933.050888472,940077.3554705998,1435597.2991650002
2021-11-01,23798.207849714952,4354.310981747683,23798207.849710003,23767349.19023,30858.659480000002,23798207.849710003,9954811.596549999,4439317.25621,5106143.293400001,4297935.703549999,23798207.849714946,14937133.084467798,3537551.6583284005,9666170.757795,57965.55214000001,1162793.3381444,474652.62549999997,37999.15256,6454481.928963,18539.04381325,886594.3494919001,1501459.442979
2021-12-01,30132.905863249463,5347.474836181272,30132905.863250002,30060835.93605,72069.9272,30132905.863250002,12791191.39281,5612715.120150001,6202123.870740001,5526875.47955,30132905.863246463,19363976.229042098,5581001.6277049,11673528.840737,75556.68205,1290385.8207502002,696174.05904,47329.19876,7426718.641205,22417.68444446,1320817.9064709,1998975.402087
2022-01-01,23331.06963426945,3985.798447366783,23331069.63427,23240719.186270002,90350.448,23331069.63427,9961389.26127,4270194.9798,4950021.25202,4149464.1411800003,23331069.63426945,13666289.055850599,2785418.247985,9198639.855767,46111.64814,1168520.6831786,425367.0047,42231.61608,6931817.344557999,20484.98022445,1197463.8383994,1515014.4152370002
2022-02-01,24205.908156638183,3953.410054432586,24205908.156639997,24050048.645639997,155859.511,24205908.156639997,10431327.236990001,4670168.379400001,5052345.07424,4052067.4660099996,24205908.156638186,15089870.6225585,2958767.4705809,10322710.179008,49114.53819000001,1203613.5792896,506650.05518,49014.800310000006,6896491.368179001,20445.167129190002,608335.8198665,1590765.178905
2022-03-01,29379.697757779704,4472.03086401202,29379697.75778,29093552.08848,286145.6693,29379697.75778,13220220.707540002,5253149.08084,6117097.9891099995,4789229.980289999,29379697.757779703,18608406.854793407,3454927.0285192,13060743.821170002,63037.21907000001,1400311.7551942002,571087.0495500001,58299.981289999996,8292346.363649999,21994.2941718,691486.5195035,1765463.7256610002
2022-04-01,30025.94266783373,4261.823143747597,30025942.66783,29944190.92283,81751.745,30025942.66783,12970099.54436,6443407.582,5501316.67423,5111118.86724,30025942.66783373,19041830.826413702,3613954.317639,13087511.307495002,70122.66100000001,1558073.0955297002,651943.7800400001,60225.66471,8352850.648189,21183.37849533,708373.2031246999,1901704.611611
2022-05-01,31497.815537364186,4232.405851004373,31497815.53736,31350331.45036,147484.087,31497815.53736,13660903.549800003,6333472.7071,5782536.24101,5720903.039450001,31497815.537364185,19909650.703517046,3506314.8295453433,13969220.653795999,69321.41506999999,1635313.9732557,667931.7590099999,61548.07283999999,8626972.458051,19526.57085493,939422.689024209,2002243.115917
2022-06-01,33924.05092478755,4326.10212991238,33924050.92479,33698881.10829,225169.8165,33924050.92479,14301788.832570001,7547795.218939998,6013562.117460001,6060904.75582,33924050.92478755,21466775.88618,3935056.8128591003,14941130.297169998,71811.50761,1740022.1434308998,712292.59505,66462.53006,9116116.892767997,25120.035116975,1087263.2324105701,2228774.878312
2022-07-01,39725.719946220124,4692.846817972296,39725719.946219996,39555187.188219994,170532.758,39725719.946219996,16754417.134529999,9470003.480800001,7143674.244820001,6357625.086069999,,25128785.601260602,4480958.1187231,17599761.168840002,87371.27289,2091575.6174975003,785386.634,83732.78931,11133629.43925,26055.426443527598,814015.0560970001,2623234.423169
